lemma	freq	distance	eligible	proper	concreteness	out_deg	in_deg
anime	1	NA	1	0	3.62	0	0
anion	3	4	1	0		1	0
anitta	14	1	1	1		1	0
anittas	3	NA	1	1		0	0
ankle	1	NA	1	0	4.81	0	0
ankylose	1	NA	1	0		0	0
ann	7	NA	1	1		0	0
anna	3	NA	1	1		0	0
anne	6	NA	1	1		0	0
anneal	1	NA	1	0		0	0
annealing	1	1	1	0		1	0
annelid	20	1	1	0		1	0
annelida	6	NA	1	1		1	0
annellus	1	NA	1	0		0	0
anniversary	14	NA	1	0	3.15	0	0
announce	53	NA	1	0	3.31	0	0
announcement	19	NA	1	0	2.79	0	0
annoy	6	NA	1	0	1.93	0	0
annoying	1	NA	1	0	2.31	0	0
annual	57	NA	1	0	1.78	0	0
annually	9	NA	1	0	2.77	0	0
anomalistic	1	NA	1	0		0	0
anomalous	2	NA	1	0		0	0
anomaly	2	NA	1	0	1.79	0	0
anonymous	5	NA	1	0	2.03	0	0
anonymously	1	NA	1	0	2.00	0	0
anopheles	2	NA	1	1		0	0
another	415	0	0	0	2.69	0	0
anoxic	3	NA	1	0		0	0
answer	56	0	1	0	2.89	0	0
ant	15	NA	1	0	4.86	0	0
antagonistic	1	NA	1	0	2.07	0	0
antalis	1	NA	1	0		0	0
antarctic	6	NA	1	1	4.21	0	0
antarctica	9	NA	1	1		0	0
anteater	2	NA	1	0	4.86	0	0
anterior	34	NA	1	0	3.50	0	0
anther	8	NA	1	0		1	0
antheridium	1	NA	1	0		0	1
anthocerotophyta	2	NA	1	1		0	0
anthocyanin	1	NA	1	0		0	0
anthony	6	NA	1	1		0	0
anthophyta	2	3	1	0		1	0
anthopleura	2	NA	1	1		0	0
anthozoa	3	NA	1	1		0	0
anthracis	1	NA	1	0		1	0
anthracite	1	NA	1	0		0	0
anthrax	13	0	1	0	4.44	0	0
anthropocene	3	NA	1	1		0	0
anthropogenic	4	NA	1	0		0	0
anthropoid	7	NA	1	0		1	0
anthropologist	3	NA	1	0	4.00	0	0
anthropology	3	NA	1	0	2.41	0	0
anti	49	NA	0	0	2.12	0	0
antibacterial	2	NA	1	0	3.17	0	0
antibiotic	97	NA	1	0	4.43	0	0
antibody	72	1	1	0	3.48	2	1
antic	1	NA	1	0	2.16	0	0
anticipate	14	NA	1	0	1.54	0	0
anticipation	2	NA	1	0	1.93	0	0
anticoagulant	2	NA	1	0	3.46	0	0
anticodon	2	NA	1	0		0	1
antidepressant	1	NA	1	0	3.80	0	0
antidiuretic	3	NA	1	0		0	0
antifreeze	1	NA	1	0	4.54	0	0
antifungal	1	NA	1	0	3.55	0	0
antigen	75	1	1	0		2	0
